CO2,Pressure,Temperature,Humidity, Room, Position, Sensor ID,time
1646,97062,30.622,19.107,none,Calibration,7C:3F:E7:16:00:69,1675873355
1717,97081,30.44,19.509,none,Calibration,B8:27:EB:B1:D5:C6,1675873356
1705,97084,30.288,25.48,none,Calibration,B8:27:EB:98:CF:BA,1675873358
1680,97089,29.092,20.14,none,Calibration,B8:27:EB:0F:85:C3,1675873360
1640,97085,29.981,25.01,none,Calibration,B8:27:EB:34:50:CA,1675873361
1726,97096,30.422,18.899,none,Calibration,B8:27:EB:86:0C:42,1675873363
1657,97066,30.601,19.105,none,Calibration,7C:3F:E7:16:00:69,1675873425
1721,97063,30.467,19.508,none,Calibration,B8:27:EB:B1:D5:C6,1675873426
1704,97094,30.288,25.459,none,Calibration,B8:27:EB:98:CF:BA,1675873428
1686,97094,29.103,20.159,none,Calibration,B8:27:EB:0F:85:C3,1675873430
1640,97081,29.917,25.013,none,Calibration,B8:27:EB:34:50:CA,1675873431
1730,97072,30.435,18.91,none,Calibration,B8:27:EB:86:0C:42,1675873433
1660,97062,30.582,19.084,none,Calibration,7C:3F:E7:16:00:69,1675873495
1728,97078,30.44,19.537,none,Calibration,B8:27:EB:B1:D5:C6,1675873496
1706,97083,30.256,25.479,none,Calibration,B8:27:EB:98:CF:BA,1675873498
1692,97078,29.092,20.169,none,Calibration,B8:27:EB:0F:85:C3,1675873500
1647,97073,29.997,25.036,none,Calibration,B8:27:EB:34:50:CA,1675873501
1735,97083,30.43,18.928,none,Calibration,B8:27:EB:86:0C:42,1675873504
1663,97073,30.585,19.094,none,Calibration,7C:3F:E7:16:00:69,1675873566
1731,97064,30.448,19.541,none,Calibration,B8:27:EB:B1:D5:C6,1675873568
1702,97091,30.248,25.477,none,Calibration,B8:27:EB:98:CF:BA,1675873569
1698,97093,29.108,20.167,none,Calibration,B8:27:EB:0F:85:C3,1675873571
1649,97088,29.96,25.025,none,Calibration,B8:27:EB:34:50:CA,1675873572
1737,97091,30.39,18.907,none,Calibration,B8:27:EB:86:0C:42,1675873574
1667,97074,30.593,19.097,none,Calibration,7C:3F:E7:16:00:69,1675873637
